Order_ID,Date,Category,Price_USD,Quantity,Discount_Pct,Payment_Method,Region,Rating
1062,2026-06-08,Smartphones,880.0,1,0.00,PayPal,Europe,4.5
1063,2026-06-10,Tablets,440.0,2,0.05,Debit Card,Asia,4.2
1064,2026-06-12,Audio,200.0,2,0.10,Credit Card,North America,4.4
1065,2026-06-15,Accessories,32.0,4,0.00,PayPal,Europe,4.1
1066,2026-06-18,Laptops,1220.0,2,0.05,Credit Card,Europe,4.7
1067,2026-06-20,Smartphones,990.0,1,0.10,Crypto,Asia,4.6
1068,2026-06-22,Tablets,530.0,1,0.00,PayPal,North America,4.3
1069,2026-06-25,Audio,150.0,3,0.15,Debit Card,Europe,3.9
1070,2026-06-28,Accessories,40.0,3,0.05,Credit Card,Asia,4.2
1071,2026-07-01,Laptops,1650.0,1,0.00,Credit Card,North America,5.0
1072,2026-07-03,Smartphones,760.0,2,0.05,PayPal,Europe,4.3
1073,2026-07-06,Tablets,470.0,1,0.10,Crypto,Asia,3.8
1074,2026-07-08,Audio,240.0,1,0.00,Credit Card,North America,4.6
1075,2026-07-10,Accessories,25.0,6,0.10,PayPal,Europe,4.0
